,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Player Link,Player ID
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
513,514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,1998,7.4,0,3,0,0.0,0.41,0.00,0.00,,12.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,https://fbref.com/en/players/b3af9be1/Takehiro-Tomiyasu,b3af9be1
514,515,James Tomkins,eng ENG,DF,Crystal Palace,33,1989,3.8,1,3,2,66.7,0.80,0.53,0.33,0.50,12.7,0,0,0,1.0,1.0,0.34,0.0,0.0,Matches,https://fbref.com/en/players/e7ca0439/James-Tomkins,e7ca0439
515,516,Ivan Toney,eng ENG,FW,Brentford,26,1996,32.8,20,87,33,37.9,2.65,1.01,0.16,0.42,16.5,9,6,7,18.7,13.2,0.15,+1.3,+0.8,Matches,https://fbref.com/en/players/e09f279b/Ivan-Toney,e09f279b
516,517,Adama Traoré,es ESP,"FW,MF",Wolves,26,1996,16.6,2,19,7,36.8,1.14,0.42,0.11,0.29,15.0,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches,https://fbref.com/en/players/9a28eba4/Adama-Traore,9a28eba4
517,518,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,1995,2.6,2,9,3,33.3,3.48,1.16,0.22,0.67,16.4,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches,https://fbref.com/en/players/c47541e0/Bertrand-Traore,c47541e0
518,519,Boubacar Traoré,ml MLI,MF,Wolves,20,2001,4.6,0,3,0,0.0,0.66,0.00,0.00,,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,https://fbref.com/en/players/999ceb5f/Boubacar-Traore,999ceb5f
519,520,Mark Travers,ie IRL,GK,Bournemouth,23,1999,11.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/fe558029/Mark-Travers,fe558029
520,521,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,1990,37.1,1,14,4,28.6,0.38,0.11,0.07,0.25,27.1,12,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,https://fbref.com/en/players/21512407/Kieran-Trippier,21512407
521,522,Leandro Trossard,be BEL,FW,Arsenal,27,1994,10.3,1,17,5,29.4,1.64,0.48,0.06,0.20,17.5,0,0,0,1.8,1.8,0.11,-0.8,-0.8,Matches,https://fbref.com/en/players/38ceb24a/Leandro-Trossard,38ceb24a
522,523,Leandro Trossard,be BEL,"FW,MF",Brighton,27,1994,14.6,7,38,17,44.7,2.60,1.16,0.18,0.41,15.0,0,0,0,4.4,4.4,0.12,+2.6,+2.6,Matches,https://fbref.com/en/players/38ceb24a/Leandro-Trossard,38ceb24a
523,524,Kostas Tsimikas,gr GRE,DF,Liverpool,26,1996,8.6,0,7,2,28.6,0.82,0.23,0.00,0.00,15.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,https://fbref.com/en/players/f315ca93/Kostas-Tsimikas,f315ca93
524,525,Deniz Undav,de GER,"FW,MF",Brighton,26,1996,7.0,5,27,12,44.4,3.87,1.72,0.19,0.42,13.8,0,0,0,4.5,4.5,0.18,+0.5,+0.5,Matches,https://fbref.com/en/players/dd549382/Deniz-Undav,dd549382
525,526,Yan Valery,tn TUN,DF,Southampton,23,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/531a4aa8/Yan-Valery,531a4aa8
526,527,Virgil van Dijk,nl NED,DF,Liverpool,31,1991,31.5,3,30,9,30.0,0.95,0.29,0.10,0.33,12.8,0,0,0,2.6,2.6,0.09,+0.4,+0.4,Matches,https://fbref.com/en/players/e06683ca/Virgil-van-Dijk,e06683ca
527,528,Raphaël Varane,fr FRA,DF,Manchester Utd,29,1993,21.2,0,8,4,50.0,0.38,0.19,0.00,0.00,11.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches,https://fbref.com/en/players/9f8e9423/Raphael-Varane,9f8e9423
528,529,Jamie Vardy,eng ENG,FW,Leicester City,35,1987,20.6,3,27,13,48.1,1.31,0.63,0.11,0.23,12.3,0,0,1,6.7,5.9,0.22,-3.7,-2.9,Matches,https://fbref.com/en/players/45963054/Jamie-Vardy,45963054
529,530,Joël Veltman,nl NED,DF,Brighton,30,1992,24.3,1,15,5,33.3,0.62,0.21,0.07,0.20,16.3,0,0,0,1.8,1.8,0.12,-0.8,-0.8,Matches,https://fbref.com/en/players/dad4b285/Joel-Veltman,dad4b285
